 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.58130279e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.57325280e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.55729248e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.52482540e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.46093293e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.33508655e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.09131973e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000000e+00  2.63369188e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000000e+00  1.99180863e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000000e+00  1.43003664e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000000e+00  9.38347490e-13 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000000e+00  5.08031985e-13 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000000e+00  1.31413977e-13 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000000e+00 -1.98207770e-13 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000000e+00 -4.86698355e-13 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000000e+00 -7.39189959e-13 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000000e+00 -9.60165107e-13 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000000e+00 -1.15357203e-12 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000000e+00 -1.32284027e-12 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000000e+00 -1.47097959e-12 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000000e+00 -1.60064670e-12 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000000e+00 -1.71412710e-12 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000000e+00 -1.81344263e-12 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000000e+00 -1.90036094e-12 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.50000000e+00 -1.97643811e-12 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.50000000e+00 -2.04302287e-12 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.50000000e+00 -2.10129310e-12 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.50000000e+00 -2.15229570e-12 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.50000000e+00 -2.19694488e-12 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.50000000e+00 -2.23600218e-12 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.50000000e+00 -2.27020052e-12 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.50000000e+00 -2.30012450e-12 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.50000000e+00 -2.32631622e-12 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.50000000e+00 -2.34924580e-12 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.50000000e+00 -2.36930180e-12 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.50000000e+00 -2.38687022e-12 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.50000000e+00 -2.40222859e-12 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  2.50000000e+00 -2.41567790e-12 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  2.50000000e+00 -2.42745234e-12 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  2.50000000e+00 -2.43775746e-12 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  2.50000000e+00 -2.44677629e-12 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  2.50000000e+00 -2.45466061e-12 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  2.50000000e+00 -2.46156654e-12 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  2.50000000e+00 -2.46760598e-12 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  2.50000000e+00 -2.47290209e-12 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  2.50000000e+00 -2.47752773e-12 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  2.50000000e+00 -2.48158265e-12 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  2.50000000e+00 -2.48513536e-12 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  2.50000000e+00 -2.48823618e-12 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  2.50000000e+00 -2.49095189e-12 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  2.50000000e+00 -2.49332499e-12 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  2.50000000e+00 -2.49541100e-12 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  2.50000000e+00 -2.49722552e-12 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  2.50000000e+00 -2.49882320e-12 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  2.50000000e+00 -2.50021184e-12 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  2.50000000e+00 -2.50143916e-12 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  2.50000000e+00 -2.50250428e-12 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  2.50000000e+00 -2.50344537e-12 
